PipeID,Material,Age,Length,Diameter,Condition,CoF_Value
P787,DI,96,49.27115516,6,1,1
P789,DI,96,37.5410672,6,1,1
P791,DI,96,22.04668353,6,1,1
P793,DI,96,25.52698036,6,1,1
P795,DI,96,30.26104654,6,1,1
P797,DI,96,28.80056268,6,1,1
P799,DI,96,29.68609279,6,1,1
P801,DI,96,23.9802349,6,1,1
P803,DI,76,169.1278993,6,1,1
P805,DI,96,14.14405692,6,1,1
P807,DI,46,23.35630621,6,1,1
P809,DI,46,12.92421848,6,1,1
P811,DI,46,64.14472844,6,1,1
P813,DI,76,43.590494,6,1,1
P815,DI,76,6.064354938,6,1,1
P817,DI,76,36.33539881,6,1,1
P819,DI,76,94.0185402,6,1,1
P821,DI,76,90.92198769,6,1,1
P823,DI,96,28.53819591,6,1,1
P825,DI,96,49.04554674,6,1,1
P827,DI,96,16.56114394,6,1,1
P829,DI,96,10.04175471,6,1,1
P831,DI,96,13.38827947,6,1,1
P833,DI,96,13.74910484,6,1,1
P835,DI,96,124.5424388,6,1,1
P837,DI,96,66.74455036,6,1,1
P839,DI,96,47.82082484,6,1,1
P841,DI,96,56.95783751,6,1,1
P843,DI,96,74.22980929,6,1,1
P845,DI,96,69.64497157,6,1,1
P847,DI,96,63.29376391,6,1,1
P849,DI,96,20.32068754,6,1,1
P851,DI,96,35.02226299,6,1,1
P853,DI,96,5.447776274,6,1,1
P855,DI,96,44.95546821,6,1,1
P857,DI,96,24.91446636,6,1,1
P859,DI,96,42.94717901,6,1,1
P861,DI,96,27.09465383,6,1,1
P863,DI,96,46.75155395,6,1,1
P865,DI,96,12.93492125,6,1,1
P867,DI,96,32.96028555,6,1,1
P869,DI,96,25.02545488,6,1,1
P871,DI,76,0.860572979,6,1,1
P873,DI,96,1.871763186,6,1,1
P875,DI,96,13.54247174,6,1,1
P877,DI,96,0.83515928,6,1,1
P879,DI,96,5.653904825,6,1,1
P881,DI,76,6.062135773,6,1,2
P883,DI,46,30.05909051,6,1,1
P885,DI,76,13.70096829,6,1,2
P887,DI,76,3.273092532,6,1,2
P889,DI,96,20.36281224,6,1,1
P891,DI,96,16.89905048,6,1,1
P893,DI,46,74.85294346,6,1,1
P895,DI,46,60.0068038,6,1,1
P897,DI,46,47.56434192,6,1,1
P899,DI,26,53.97092106,6,2,1
P901,DI,26,137.879927,6,2,1
P903,DI,26,40.40162768,6,2,1
P905,DI,26,50.53918541,6,2,1
P907,DI,26,130.1747675,6,2,1
P909,DI,26,36.63753434,6,2,1
P911,DI,26,29.96011365,6,2,1
P913,DI,26,0.648437063,6,2,1
P915,DI,46,61.88874103,6,1,1
P917,DI,26,67.53553793,6,2,1
P919,DI,26,13.11924061,6,2,1
P921,DI,26,37.71846498,6,2,1
P923,DI,26,34.8410321,6,2,1
P925,DI,26,10.8555458,6,2,1
P927,DI,26,27.54976855,6,2,1
P929,DI,76,21.2754389,6,1,1
P931,DI,76,13.35876466,6,1,1
P933,DI,76,52.61857932,6,1,1
P935,DI,76,337.6727147,6,1,1
P937,DI,26,98.55551897,6,2,2
P939,DI,26,78.31699985,6,2,2
P941,DI,76,45.13913858,6,1,2
P943,DI,76,45.02194494,6,1,2
P945,DI,76,4.546434206,6,1,2
P947,DI,76,50.72989281,6,1,1
P949,DI,76,66.04333469,6,1,2
P951,DI,76,325.0990207,6,1,2
P953,DI,46,473.2761407,6,1,1
P955,DI,46,34.70242414,6,1,2
P957,DI,46,43.35433828,6,1,1
P959,DI,46,27.10455449,6,1,1
P961,DI,46,35.89794899,6,1,1
P963,DI,46,325.8193617,6,1,1
P965,DI,46,41.48804654,6,1,2
P967,DI,46,40.52424318,6,1,2
P969,DI,46,25.76319811,6,1,1
P971,DI,46,22.38783335,6,1,2
P973,DI,46,81.20152657,6,1,2
P975,DI,46,90.28895749,6,1,2
P977,GI,76,71.08215439,2,1,1
P979,GI,76,1160.569745,2,1,1
P981,GI,76,29.11471288,2,1,1
P983,DI,76,166.4058209,6,1,1
P985,PVC,46,1773.483782,12,1,2
P987,CI,96,15.90713349,6,1,1
P989,CI,96,219.2257774,6,1,1
P991,PVC,46,130.0246617,6,1,2
P993,PVC,76,47.06334854,6,1,2
P995,PVC,76,38.26525992,6,1,2
P997,PVC,46,192.4686655,6,1,2
P999,PVC,96,746.6383456,6,1,2
P1001,PVC,46,27.18767545,6,1,2
P1003,PVC,96,373.2880444,6,1,2
P1005,AC,76,10.91095048,6,1,2
P1007,DI,96,84.74897534,6,1,1
P1009,DI,96,454.878782,6,1,1
P1011,AC,76,13.59322959,6,1,2
P1013,AC,96,502.7149262,6,1,2
P1015,CI,96,108.5799324,6,1,2
P1017,CI,96,287.1336652,6,1,2
P1019,CI,96,24.81049426,6,1,3
P1021,AC,96,21.53579438,6,1,2
P1023,AC,76,369.6396248,6,1,2
P1025,AC,76,156.8811313,6,1,2
P1027,AC,76,450.3187218,6,1,2
P1029,AC,96,526.9002055,6,1,2
P1031,AC,96,516.1883072,6,1,2
P1033,AC,76,342.5833997,6,1,2
P1035,AC,76,41.49223507,6,1,2
P1037,AC,76,476.6290482,6,1,2
P1039,AC,96,390.2528129,6,1,1
P1041,AC,76,26.67392697,6,1,1
P1045,Default,76,641,6,1,1
P1047,AC,96,378.2652544,6,1,1
P1049,CI,96,22.16717454,6,1,2
P1051,CI,96,287.3418061,6,1,2
P1053,CI,96,87.76071402,6,1,2
P1055,CI,96,50.64131166,6,1,2
P1057,CI,96,29.5940339,6,1,2
P1059,CI,96,91.93045204,6,1,2
P1061,CI,96,530.4227943,6,1,2
P1063,CI,96,32.0622489,6,1,2
P1065,CI,96,157.0467164,6,1,2
P1067,CI,96,626.9172311,6,1,2
P1069,CI,96,39.01814943,6,1,3
P1071,CI,96,29.49177801,6,1,2
P1073,CI,96,143.7324379,6,1,3
P1075,CI,96,80.44065235,6,1,3
P1077,CI,96,24.68039997,8,1,3
P1079,CI,96,231.0736001,8,1,2
P1081,CI,96,139.5442394,8,1,2
P1083,CI,96,200.8872127,8,1,2
P1085,CI,96,49.17224383,8,1,3
P1087,CI,96,17.30314784,8,1,3
P1089,AC,96,343.8155902,6,1,2
P1091,AC,76,281.8074916,6,1,2
P1093,AC,76,252.0684287,6,1,2
P1095,AC,76,310.3178009,6,1,3
P1097,AC,76,67.82301628,6,1,3
P1099,AC,96,475.7467214,6,1,2
P1101,AC,96,132.8628991,6,1,2
P1103,AC,76,22.4341315,6,1,3
P1105,CI,76,241.2895129,6,1,3
P1107,CI,76,81.99473576,6,1,3
P1109,CI,76,28.78990544,6,1,3
P1111,PVC,46,33.46596525,8,1,3
P1113,PVC,46,363.658617,8,1,3
P1115,PVC,46,606.3244399,8,1,3
P1117,PVC,46,524.0799316,8,1,3
P1119,PVC,46,204.6458904,8,1,3
P1121,PVC,46,730.1297222,8,1,2
P1123,PVC,46,20.37625578,8,1,3
P1125,AC,76,26.92918404,8,1,2
P1127,AC,76,222.1153308,8,1,2
P1129,AC,96,67.19330609,8,1,2
P1131,AC,76,1129.798196,8,1,3
P1133,AC,76,395.6844227,8,1,3
P1135,AC,76,71.96008102,8,1,3
P1137,CI,96,27.69820038,6,1,2
P1139,CI,96,254.925162,6,1,2
P1141,CI,96,43.57065224,6,1,2
P1143,CI,96,18.73749826,6,1,2
P1145,CI,76,697.2017257,6,1,2
P1147,AC,76,26.88713823,6,1,2
P1149,AC,96,487.3147774,6,1,2
P1151,AC,76,240.2653862,6,1,2
P1153,AC,76,33.82124993,6,1,2
P1155,AC,96,631.0446813,6,1,2
P1157,AC,76,206.976051,6,1,2
P1159,AC,76,30.94692077,6,1,2
P1161,GI,76,185.6947717,1.5,1,1
P1163,AC,76,32.36305057,6,1,2
P1165,AC,96,553.5372769,6,1,2
P1167,AC,96,69.78464434,6,1,2
P1169,AC,76,32.05558528,6,1,2
P1171,AC,76,669.5070049,6,1,2
P1173,AC,46,81.93880003,10,1,3
P1175,AC,76,96.20202822,10,1,3
P1177,AC,46,301.4871907,10,1,2
P1179,AC,76,792.2364642,10,1,3
P1181,AC,76,31.18835659,10,1,3
P1183,AC,76,551.1132222,10,1,3
P1185,AC,76,25.96184501,10,1,3
P1187,AC,76,697.5476464,10,1,3
P1189,AC,76,1110.021747,10,1,2
P1191,AC,46,285.3592397,10,1,2
P1193,AC,76,401.9278884,10,1,2
P1195,AC,76,30.56074045,8,1,3
P1197,AC,76,320.2790161,8,1,3
P1199,AC,46,875.9424045,8,1,2
P1201,AC,76,599.2737497,8,1,3
P1203,AC,46,616.7831577,8,1,2
P1205,AC,76,33.53581307,6,1,1
P1207,AC,76,94.34963424,6,1,1
P1209,AC,76,324.6950887,6,1,1
P1211,AC,76,285.7766742,6,1,2
P1213,AC,96,73.0977044,6,1,1
P1215,AC,76,45.42018608,2,1,1
P1217,AC,76,43.31717166,6,1,2
P1219,AC,76,304.4577823,6,1,2
P1221,AC,76,230.9573842,8,1,2
P1223,AC,76,549.3484708,8,1,2
P1225,AC,76,234.2980104,8,1,2
P1227,AC,76,28.82841365,8,1,2
P1229,AC,76,35.65224381,6,1,1
P1231,AC,76,800.7973484,6,1,1
P1233,AC,96,21.72076974,6,1,3
P1235,AC,96,351.3000337,6,1,2
P1237,AC,76,140.2339371,6,1,3
P1239,AC,76,268.6809596,6,1,3
P1241,AC,76,328.9021417,6,1,2
P1243,AC,76,111.168265,6,1,2
P1245,AC,76,261.7775788,6,1,1
P1247,AC,76,65.31920986,6,1,1
P1249,AC,76,519.2414619,6,1,1
P1251,PVC,46,614.2624976,6,1,1
P1253,PVC,46,43.252131,6,1,1
P1255,PVC,76,24.76114381,6,1,3
P1257,PVC,46,1193.727467,6,1,2
P1259,PVC,46,967.531738,6,1,2
P1261,PVC,46,33.30804143,6,1,2
P1263,PVC,46,228.6380628,6,1,2
P1265,PVC,46,62.34762834,6,1,2
P1267,PVC,46,528.5272945,6,1,2
P1269,PVC,46,455.5829548,6,1,2
P1271,PVC,76,31.65826172,6,1,2
P1273,PVC,76,425.8699075,2,1,1
P1275,GI,76,34.19632609,2,1,2
P1277,GI,76,216.6383419,2,1,2
P1279,GI,76,456.6983749,2,1,2
P1281,PVC,76,397.5574026,2,1,1
P1283,PVC,96,835.3463124,6,1,2
P1285,PVC,96,964.168669,6,1,2
P1287,GI,96,341.4388884,3,1,1
P1289,GI,76,42.47741452,3,1,1
P1291,GI,76,34.79791079,1.5,1,1
P1293,GI,76,339.3425553,1.5,1,1
P1295,GI,76,91.16134977,1.5,1,1
P1297,GI,76,1702.058368,1.5,1,1
P1299,PVC,46,39.32279715,6,1,1
P1301,PVC,96,953.2464122,6,1,1
P1303,CI,96,30.70525845,6,1,2
P1305,CI,96,372.371862,6,1,2
P1307,PVC,46,422.5950389,2,1,1
P1309,CI,96,25.22800321,8,1,3
P1311,Default,96,180,8,1,2
P1313,CI,96,125.4573384,6,1,1
P1315,DI,76,172.4636964,8,1,2
P1317,DI,76,135.5656136,6,1,1
P1319,AC,46,39.56140711,6,1,2
P1321,AC,26,373.1850341,6,2,1
P1323,AC,76,214.5075515,6,1,1
P1325,AC,26,493.6419591,6,2,1
P1327,DI,96,887.9472107,6,1,1
P1329,DI,76,58.09593259,6,1,1
P1331,DI,76,334.6827904,6,1,1
P1333,DI,96,129.4034125,6,1,1
P1335,DI,26,246.0534467,6,2,1
P1337,DI,26,920.0333158,6,2,1
P1339,DI,26,222.7499802,6,2,1
P1341,DI,26,507.5686711,6,2,2
P1343,DI,46,1378.99118,6,1,2
P1345,DI,46,822.0028751,6,1,2
P1347,DI,26,1363.41445,6,2,2
P1349,DI,76,36.23328904,6,1,2
P1351,DI,26,29.5463434,6,2,1
P1353,DI,26,1946.253818,6,2,1
P1355,DI,26,1343.53617,6,2,1
P1357,DI,26,751.3696781,6,2,1
P1359,DI,26,146.1729689,6,2,1
P1361,DI,26,1160.395835,6,2,1
P1363,DI,26,143.0000988,6,2,1
P1365,DI,26,103.751345,6,2,1
P1367,DI,26,404.668168,6,2,1
P1369,DI,76,206.1074535,6,1,2
P1371,DI,76,37.91739039,6,1,2
P1373,DI,76,163.4971707,6,1,2
P1375,DI,76,161.6861837,6,1,2
P1377,DI,46,927.2119055,6,1,2
P1379,DI,26,17.54720407,6,2,2
P1381,DI,26,194.2323653,6,2,2
P1383,DI,26,36.3154871,6,2,2
P1385,DI,26,172.9250485,6,2,2
P1387,DI,26,22.91420264,6,2,2
P1389,DI,26,188.7507407,6,2,2
P1391,DI,26,889.7215058,6,2,1
P1393,DI,26,37.87647067,6,2,2
P1395,DI,26,910.8566616,6,2,2
P1397,DI,26,496.5581801,6,2,2
P1399,DI,46,24.59281066,6,1,2
P1401,DI,26,34.09885143,6,2,2
P1403,DI,26,737.6005876,6,2,1
P1405,DI,26,11.06622537,6,2,1
P1407,DI,26,9.185424862,6,2,1
P1409,DI,26,15.08802707,6,2,1
P1411,DI,26,563.6466089,6,2,1
P1413,DI,26,40.28210035,6,2,1
P1415,DI,26,360.431286,6,2,1
P1417,DI,26,357.905995,6,2,1
P1419,DI,26,181.9315606,6,2,1
P1421,DI,26,1055.905539,6,2,1
P1423,DI,26,94.13367377,6,2,1
P1425,DI,26,39.83070138,6,2,2
P1427,DI,46,309.8130105,6,1,2
P1429,DI,46,153.6994018,6,1,2
P1431,DI,76,87.37139658,6,1,2
P1433,DI,76,707.8097568,6,1,2
P1435,DI,26,178.9961566,6,2,1
P1437,DI,76,39.82207674,6,1,1
P1439,DI,26,325.1732085,6,2,1
P1441,DI,46,295.6924926,6,1,2
P1443,DI,46,76.75829117,6,1,2
P1445,DI,46,675.1336867,6,1,3
P1447,DI,46,679.975015,6,1,2
P1449,DI,46,516.1322743,6,1,2
P1451,DI,46,585.8657787,6,1,2
P1453,DI,46,122.2416235,6,1,2
P1455,DI,46,282.1254682,6,1,2
P1457,DI,46,2327.229652,6,1,2
P1459,DI,46,28.68715262,6,1,2
P1461,DI,46,192.7225832,6,1,2
P1463,DI,46,316.4482271,6,1,2
P1465,DI,46,442.942444,6,1,2
P1467,DI,46,117.7507131,6,1,2
P1469,DI,46,221.1501187,6,1,1
P1471,DI,46,62.02162427,6,1,1
P1473,DI,46,251.7074669,6,1,2
P1475,DI,46,278.8330744,6,1,2
P1477,DI,46,268.1853779,6,1,1
P1479,DI,96,22.66287931,6,1,2
P1481,DI,96,482.2034507,6,1,2
P1483,DI,96,339.374716,6,1,2
P1485,DI,76,34.96995781,6,1,2
P1487,DI,76,630.8574088,6,1,2
P1489,DI,76,32.06069486,6,1,2
P1491,DI,26,52.68460126,6,2,1
P1493,DI,26,1053.340851,6,2,1
P1495,DI,26,754.2106641,6,2,1
P1497,DI,26,25.70102266,6,2,1
P1499,Default,26,9.8,6,2,1
P1503,DI,26,1047.162738,6,2,1
P1505,DI,26,579.1829317,6,2,1
P1507,DI,26,41.57310585,6,2,3
P1509,DI,26,108.0467795,6,2,3
P1511,DI,26,261.9393925,6,2,3
P1513,DI,26,603.0410659,6,2,3
P1515,DI,46,2548.44656,6,1,1
P1517,DI,46,4148.842081,6,1,2
P1519,DI,46,403.303961,6,1,2
P1521,DI,46,2366.177441,6,1,2
P1523,DI,46,554.1915288,6,1,2
P1525,DI,46,378.2238392,6,1,2
P1527,DI,46,1513.802818,6,1,3
P1529,DI,46,846.7260223,6,1,2
P1531,DI,46,547.9230252,6,1,2
P1533,DI,46,178.6956353,6,1,2
P1535,DI,26,5347.609294,6,2,3
P1537,PVC,26,439.0536021,2,2,1
P1539,DI,26,823.8513876,6,2,1
P1541,DI,96,197.0727972,6,1,2
