wPipes_Nominal_Flow.OBJECTID,wPipes_Nominal_Flow.MOID,wPipes_Nominal_Flow.MOTYPE,wPipes_Nominal_Flow.SELCODE,wPipes_Nominal_Flow.DSPCODE,wPipes_Nominal_Flow.UDFTYPE,wPipes_Nominal_Flow.LDMTYPE,wPipes_Nominal_Flow.ID,wPipes_Nominal_Flow.DESCRIPT,wPipes_Nominal_Flow.YR_INST,wPipes_Nominal_Flow.YR_RETIRE,wPipes_Nominal_Flow.ZONE,wPipes_Nominal_Flow.MATERIAL,wPipes_Nominal_Flow.LINING,wPipes_Nominal_Flow.COST_ID,wPipes_Nominal_Flow.PHASE,wPipes_Nominal_Flow.ID_1,wPipes_Nominal_Flow.LENGTH,wPipes_Nominal_Flow.DIAMETER,wPipes_Nominal_Flow.ROUGHNESS,wPipes_Nominal_Flow.MINORLOSS,wPipes_Nominal_Flow.TOTALIZER,wPipes_Nominal_Flow.CHK_VALVE,wPipes_Nominal_Flow.ID_12,wPipes_Nominal_Flow.DIRECTION,wPipes_Nominal_Flow.RUN_DIAM,wPipes_Nominal_Flow.RUN_LENGTH,wPipes_Nominal_Flow.RUN_ROUGH,wPipes_Nominal_Flow.FLOW,wPipes_Nominal_Flow.VELOCITY,wPipes_Nominal_Flow.HEADLOSS,wPipes_Nominal_Flow.HL1000,wPipes_Nominal_Flow.STATUS,wPipes_Nominal_Flow.MAX_FLOW,wPipes_Nominal_Flow.MIN_FLOW,wPipes_Nominal_Flow.AVE_FLOW,wPipes_Nominal_Flow.MAX_VELOC,wPipes_Nominal_Flow.MIN_VELOC,wPipes_Nominal_Flow.AVE_VELOC,wPipes_Nominal_Flow.MAX_HDLOSS,wPipes_Nominal_Flow.MIN_HDLOSS,wPipes_Nominal_Flow.AVE_HDLOSS,wPipes_Nominal_Flow.SHAPE_Length,wPipes_Nominal_Flow.Crtical_Xing,wPipes_Nominal_Flow_AddSpatialJoin_1.OBJECTID,wPipes_Nominal_Flow_AddSpatialJoin_1.Join_Count,wPipes_Nominal_Flow_AddSpatialJoin_1.TARGET_FID,wPipes_Nominal_Flow_AddSpatialJoin_1.DIA,wPipes_Nominal_Flow_AddSpatialJoin_1.LABEL,wPipes_Nominal_Flow_AddSpatialJoin_1.MATERIAL,wPipes_Nominal_Flow_AddSpatialJoin_1.NOTES,wPipes_Nominal_Flow_AddSpatialJoin_1.START_ID,wPipes_Nominal_Flow_AddSpatialJoin_1.START_NODE,wPipes_Nominal_Flow_AddSpatialJoin_1.STOP_ID,wPipes_Nominal_Flow_AddSpatialJoin_1.STOP_NODE,wPipes_Nominal_Flow_AddSpatialJoin_1.INSTR_YR,wPipes_Nominal_Flow_AddSpatialJoin_1.CRITICAL_PIPE,wPipes_Nominal_Flow_AddSpatialJoin_1.SHAPE_Length
1,P787,0,,,,,P787,Ductile Iron,,,,,,,,P787,49.27115516,6,130,,0,0,P787,0,6,49.27,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,49.27115516,0,1,1,1,6,L-1,Ductile Iron, ,1505,H-5,1674,J-673,1930,0,49.27101123
2,P789,0,,,,,P789,Ductile Iron,,,,,,,,P789,37.5410672,6,130,,0,0,P789,0,6,37.54,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37.5410672,0,2,1,2,6,L-2,Ductile Iron, ,1506,H-6,855,J-533,1930,0,37.5413113
3,P791,0,,,,,P791,Ductile Iron,,,,,,,,P791,22.04668353,6,130,,0,0,P791,0,6,22.05,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22.04668353,0,3,1,3,6,L-3,Ductile Iron, ,1507,H-7,1675,J-674,1930,0,22.04642986
4,P793,0,,,,,P793,Ductile Iron,,,,,,,,P793,25.52698036,6,130,,0,0,P793,0,6,25.53,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25.52698036,0,4,1,4,6,L-4,Ductile Iron, ,1508,H-8,1676,J-675,1930,0,25.52684259
5,P795,0,,,,,P795,Ductile Iron,,,,,,,,P795,30.26104654,6,130,,0,0,P795,0,6,30.26,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30.26104654,0,5,1,5,6,L-5,Ductile Iron, ,1509,H-9,1677,J-676,1930,0,30.26077097
6,P797,0,,,,,P797,Ductile Iron,,,,,,,,P797,28.80056268,6,130,,0,0,P797,0,6,28.8,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28.80056268,0,6,1,6,6,L-6,Ductile Iron, ,1510,H-10,1678,J-677,1930,0,28.80028242
7,P799,0,,,,,P799,Ductile Iron,,,,,,,,P799,29.68609279,6,130,,0,0,P799,0,6,29.69,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29.68609279,0,7,1,7,6,L-7,Ductile Iron, ,1511,H-11,1679,J-678,1930,0,29.68596412
8,P801,0,,,,,P801,Ductile Iron,,,,,,,,P801,23.9802349,6,130,,0,0,P801,0,6,23.98,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23.9802349,0,8,1,8,6,L-8,Ductile Iron, ,1512,H-12,1001,J-626,1930,0,23.98027737
9,P803,0,,,,,P803,Ductile Iron,,,,,,,,P803,169.1278993,6,130,,0,0,P803,0,6,169.13,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,169.1278993,0,9,1,9,8,Pipes_DWG-127(2)(2)(2),Asbestos Cement, ,1680,J-679,866,J-540,1950,0,549.348727
10,P805,0,,,,,P805,Ductile Iron,,,,,,,,P805,14.14405692,6,130,,0,0,P805,0,6,14.14,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14.14405692,0,10,1,10,6,L-10,Ductile Iron, ,1514,H-14,944,J-591,1930,0,14.14411311
11,P807,0,,,,,P807,Ductile Iron,,,,,,,,P807,23.35630621,6,130,,0,0,P807,0,6,23.36,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23.35630621,0,11,1,11,6,Pipes_DWG-84(2)(2)(1)(1),PVC, ,905,J-566,1681,J-680,1980,0,66.35959075
