Year,PipeID,Action,PreCondition,PostCondition,Condition_Before,Priority,Cost,Length,Diameter,Material,NewMaterial,Breaks
1,P787,Emergency_Replacement,1.0,6.0,1.0,0.0,39416.924128,49.27115516,6.0,DI,HDPE,0
1,P1127,Emergency_Replacement,1.0,6.0,1.0,0.0,177692.26464,222.1153308,8.0,AC,HDPE,0
1,P1139,Break_Event,1.6853844711502006,1.3853844711502006,1.6853844711502006,0.0,5000.0,254.925162,6.0,CI,,1
1,P1145,Break_Event,2.0528963379545186,1.7528963379545186,2.0528963379545186,0.0,5000.0,697.2017257,6.0,CI,,1
1,P1179,Emergency_Replacement,1.0,6.0,1.0,0.0,633789.17136,792.2364642,10.0,AC,HDPE,0
1,P1189,Break_Event,1.7021923741034493,1.4021923741034492,1.7021923741034493,0.0,5000.0,1110.021747,10.0,AC,,1
1,P1199,Break_Event,2.4822938308259457,2.182293830825946,2.4822938308259457,0.0,5000.0,875.9424045,8.0,AC,,1
1,P1201,Break_Event,1.6577107903531727,1.3577107903531727,1.6577107903531727,0.0,5000.0,599.2737497,8.0,AC,,1
1,P1207,Emergency_Replacement,1.0,6.0,1.0,0.0,75479.707392,94.34963424,6.0,AC,HDPE,0
1,P1223,Break_Event,1.652858516213491,1.0,1.652858516213491,0.0,5000.0,549.3484708,8.0,AC,,1
1,P1223,Emergency_Replacement,1.0,6.0,1.0,0.0,439478.77664,549.3484708,8.0,AC,HDPE,0
1,P1235,Break_Event,1.388906459933857,1.0,1.388906459933857,0.0,5000.0,351.3000337,6.0,AC,,1
1,P1235,Emergency_Replacement,1.0,6.0,1.0,0.0,281040.02696,351.3000337,6.0,AC,HDPE,0
1,P1267,Break_Event,3.7489443063491064,3.4489443063491065,3.7489443063491064,0.0,5000.0,528.5272945,6.0,PVC,,1
1,P1295,Emergency_Replacement,1.0,6.0,1.0,0.0,72929.079816,91.16134977,1.5,GI,HDPE,0
1,P1305,Emergency_Replacement,1.0,6.0,1.0,0.0,297897.48960000003,372.371862,6.0,CI,HDPE,0
1,P1323,Break_Event,1.6535412465500108,1.0,1.6535412465500108,0.0,5000.0,214.5075515,6.0,AC,,1
1,P1323,Emergency_Replacement,1.0,6.0,1.0,0.0,171606.0412,214.5075515,6.0,AC,HDPE,0
1,P1489,Emergency_Replacement,1.0,6.0,1.0,0.0,25648.555888,32.06069486,6.0,DI,HDPE,0
1,P1547,Break_Event,1.4377639264818967,1.0,1.4377639264818967,0.0,5000.0,295.0592761,2.0,GI,,1
1,P1547,Emergency_Replacement,1.0,6.0,1.0,0.0,236047.42088,295.0592761,2.0,GI,HDPE,0
1,P1553,Emergency_Replacement,1.0,6.0,1.0,0.0,118360.52471999999,147.9506559,2.0,GI,HDPE,0
1,P1127,Break_Event,1.6630355551647082,1.0,1.6630355551647082,0.0,5000.0,222.1153308,8.0,AC,,1
1,P1107,Break_Event,2.037379188365328,1.7373791883653278,2.037379188365328,0.0,5000.0,81.99473576,6.0,CI,,1
1,P1137,Emergency_Replacement,1.0,6.0,1.0,0.0,22158.560304,27.69820038,6.0,CI,HDPE,0
1,P1091,Break_Event,1.6735593869243608,1.3735593869243607,1.6735593869243608,0.0,5000.0,281.8074916,6.0,AC,,1
1,P855,Emergency_Replacement,1.0,6.0,1.0,0.0,35964.374568,44.95546821,6.0,DI,HDPE,0
1,P861,Emergency_Replacement,1.0,6.0,1.0,0.0,21675.723063999998,27.09465383,6.0,DI,HDPE,0
1,P929,Emergency_Replacement,1.0,6.0,1.0,0.0,17020.35112,21.2754389,6.0,DI,HDPE,0
1,P941,Emergency_Replacement,1.0,6.0,1.0,0.0,36111.310864,45.13913858,6.0,DI,HDPE,0
1,P979,Break_Event,1.423064294905186,1.0,1.423064294905186,0.0,10000.0,1160.569745,2.0,GI,,2
1,P979,Emergency_Replacement,1.0,6.0,1.0,0.0,928455.796,1160.569745,2.0,GI,HDPE,0
