Year,PipeID,Action,PreCondition,PostCondition,Condition_Before,Priority,Cost,Length,Diameter,Material,NewMaterial,Breaks,Cause,Backlog,Annualized_Risk
1,P1297,Break_Event,1.4335294373377563,1.0,1.4335294373377563,0.0,5000.0,1702.058368,1.5,GI,,1,,False,
1,P1297,Emergency_Replacement,1.0,6.0,1.0,0.0,8510291.84,1702.058368,1.5,GI,HDPE,0,break_failure,True,
2,P1547,Break_Event,1.2779872918617843,1.05,1.2779872918617843,0.0,5000.0,295.0592761,2.0,GI,,1,,False,
3,P1065,Break_Event,1.5774095745873087,1.0,1.5774095745873087,0.0,5000.0,157.0467164,6.0,CI,,1,,False,
3,P1065,Emergency_Replacement,1.0,6.0,1.0,0.0,785233.582,157.0467164,6.0,CI,HDPE,0,break_failure,True,
3,P1547,CIP_Replacement,1.05,6.0,1.05,35.81747316257632,70814.226264,295.0592761,2.0,GI,HDPE,0,,True,2536386.6487394273
4,P1277,CIP_Replacement,1.1148083535580775,6.0,1.1148083535580775,38.89614146425943,51993.202056,216.6383419,2.0,GI,HDPE,0,,True,2022334.9423500001
4,P1543,CIP_Replacement,1.0568322670078965,6.0,1.0568322670078965,24.135239477349558,104136.567576,433.9023649,2.0,GI,HDPE,0,,True,2513360.996795955
5,P1545,CIP_Replacement,1.0936516501762938,6.0,1.0936516501762938,18.822608242538873,7195.1814744,29.97992281,2.0,GI,HDPE,0,,True,135432.08212660445
5,P1553,CIP_Replacement,1.105253935210183,6.0,1.105253935210183,7.666701768911217,35508.157415999995,147.9506559,2.0,GI,HDPE,0,,True,272230.4532720251
5,P1287,CIP_Replacement,1.113041775683608,6.0,1.113041775683608,4.548390552318531,122917.999824,341.4388884,3.0,GI,HDPE,0,,True,559079.0691093724
6,P1289,CIP_Replacement,1.0488899360958137,6.0,1.0488899360958137,21.2596032833357,15291.8692272,42.47741452,3.0,GI,HDPE,0,,True,325099.0732309213
6,P1165,CIP_Replacement,1.083686166455439,6.0,1.083686166455439,10.150066088410425,398546.83936800004,553.5372769,6.0,AC,HDPE,0,,True,4045276.7589122937
6,P1129,CIP_Replacement,1.0774691558444025,6.0,1.0774691558444025,8.360182671157478,64505.573846399995,67.19330609,8.0,AC,HDPE,0,,True,539278.3806637423
6,P1233,CIP_Replacement,1.0799927538181313,6.0,1.0799927538181313,16.08539873241943,15638.954212800001,21.72076974,6.0,AC,HDPE,0,,True,251558.8142709387
6,P1013,CIP_Replacement,1.0714074004429874,6.0,1.0714074004429874,12.285910274156087,361954.746864,502.7149262,6.0,AC,HDPE,0,,True,4446943.543275983
6,P979,Break_Event,1.2345360634251354,1.05,1.2345360634251354,0.0,5000.0,1160.569745,2.0,GI,,1,,False,
6,P1279,CIP_Replacement,1.10241828934225,6.0,1.10241828934225,26.96786126721291,109607.60997599999,456.6983749,2.0,GI,HDPE,0,,True,2955882.81966355
7,P1357,Break_Event,4.224829361035257,3.9248293610352576,4.224829361035257,0.0,5000.0,751.3696781,6.0,DI,,1,,False,
7,P1171,Break_Event,1.2539075759890606,1.05,1.2539075759890606,0.0,5000.0,669.5070049,6.0,AC,,1,,False,
7,P979,CIP_Replacement,1.05,6.0,1.05,14.400888080686721,278536.7388,1160.569745,2.0,GI,HDPE,0,,True,4011176.4018182703
7,P981,CIP_Replacement,1.0981962552814242,6.0,1.0981962552814242,11.839154924050014,6987.5310911999995,29.11471288,2.0,GI,HDPE,0,,True,82726.46312533304
7,P1133,CIP_Replacement,1.0612224104291819,6.0,1.0612224104291819,21.867145498742197,379857.045792,395.6844227,8.0,AC,HDPE,0,,True,8306389.289056041
7,P1295,CIP_Replacement,1.0762118383680375,6.0,1.0762118383680375,21.406308909354365,16409.0429586,91.16134977,1.5,GI,HDPE,0,,True,351257.0424786577
7,P1149,CIP_Replacement,1.1168227316500057,6.0,1.1168227316500057,5.5215660045040975,350866.63972800004,487.3147774,6.0,AC,HDPE,0,,True,1937333.3100367119
7,P1089,CIP_Replacement,1.101528466158433,6.0,1.101528466158433,6.639020795481439,247547.224944,343.8155902,6.0,AC,HDPE,0,,True,1643471.1742669377
7,P1235,CIP_Replacement,1.093937047980252,6.0,1.093937047980252,7.328692256858097,252936.02426399998,351.3000337,6.0,AC,HDPE,0,,True,1853690.2825040484
7,P1161,CIP_Replacement,1.1116685896237135,6.0,1.1116685896237135,13.434148544899939,33425.058906,185.6947717,1.5,GI,HDPE,0,,True,449037.20646523463
8,P1135,CIP_Replacement,1.0663690450700039,6.0,1.0663690450700039,17.164059602201462,69081.6777792,71.96008102,8.0,AC,HDPE,0,,True,1185722.0348222652
8,P1163,CIP_Replacement,1.1046237724980343,6.0,1.1046237724980343,9.15002747187293,23301.3964104,32.36305057,6.0,AC,HDPE,0,,True,213208.41728816126
8,P1171,CIP_Replacement,1.05,6.0,1.05,13.506079570330973,482045.04352799995,669.5070049,6.0,AC,HDPE,0,,True,6510538.714372825
8,P1275,CIP_Replacement,1.065220247043371,6.0,1.065220247043371,32.961374946492334,8207.1182616,34.19632609,2.0,GI,HDPE,0,,True,270517.90225080197
8,P1029,CIP_Replacement,1.0855501538253125,6.0,1.0855501538253125,7.05672117228055,379368.14796,526.9002055,6.0,AC,HDPE,0,,True,2677095.2417981923
8,P1209,CIP_Replacement,1.0660868737533808,6.0,1.0660868737533808,7.6641203311317945,233780.463864,324.6950887,6.0,AC,HDPE,0,,True,1791721.6061215042
8,P1027,CIP_Replacement,1.1056984142244315,6.0,1.1056984142244315,9.04227482891286,324229.479696,450.3187218,6.0,AC,HDPE,0,,True,2931772.0630466538
8,P1305,CIP_Replacement,1.0922166881774373,6.0,1.0922166881774373,10.384411910376787,268107.74064000003,372.371862,6.0,CI,HDPE,0,,True,2784141.215166227
9,P1035,CIP_Replacement,1.1059863255666438,6.0,1.1059863255666438,7.88705509013913,29874.4092504,41.49223507,6.0,AC,HDPE,0,,True,235621.11154326683
9,P1101,Break_Event,1.0874467649055541,1.05,1.0874467649055541,0.0,5000.0,132.8628991,6.0,AC,,1,,False,
9,P1103,CIP_Replacement,1.0883248266159298,6.0,1.0883248266159298,14.57597278227006,16152.57468,22.4341315,6.0,AC,HDPE,0,,True,235439.4888992645
9,P1193,CIP_Replacement,1.0142688766021695,6.0,1.0142688766021695,40.01190760076169,482313.46608,401.9278884,10.0,AC,HDPE,0,,True,19298281.839396067
9,P1109,CIP_Replacement,1.0567590881512858,6.0,1.0567590881512858,32.248981733597326,20728.7319168,28.78990544,6.0,CI,HDPE,0,,False,668480.4969455191
9,P1197,CIP_Replacement,1.1012276652833748,6.0,1.1012276652833748,9.357052505149518,307467.85545599996,320.2790161,8.0,AC,HDPE,0,,True,2876992.8671475146
9,P1221,CIP_Replacement,1.0700216238311078,6.0,1.0700216238311078,9.440718611668613,221719.088832,230.9573842,8.0,AC,HDPE,0,,True,2093187.5284984692
9,P1155,CIP_Replacement,1.0553042235335695,6.0,1.0553042235335695,10.327410907895233,454352.170536,631.0446813,6.0,AC,HDPE,0,,True,4692281.562019361
9,P1099,CIP_Replacement,1.0538266585914773,6.0,1.0538266585914773,10.649802823642062,342537.639408,475.7467214,6.0,AC,HDPE,0,,True,3647958.319371005
9,P1195,CIP_Replacement,1.089671177461559,6.0,1.089671177461559,10.746478068512051,29338.310832,30.56074045,8.0,AC,HDPE,0,,True,315283.51392327755
9,P1169,CIP_Replacement,1.0770490988802035,6.0,1.0770490988802035,11.32437078658171,23080.021401600003,32.05558528,6.0,AC,HDPE,0,,True,261366.72011395972
9,P1139,Break_Event,1.4752718714121313,1.1752718714121313,1.4752718714121313,0.0,5000.0,254.925162,6.0,CI,,1,,False,
9,P1529,Break_Event,2.6381750295569986,2.3381750295569987,2.6381750295569986,0.0,5000.0,846.7260223,6.0,DI,,1,,False,
9,P1293,CIP_Replacement,1.096141997985172,6.0,1.096141997985172,12.151452332831425,61081.659954,339.3425553,1.5,GI,HDPE,0,,True,742230.8793412492
10,P1225,CIP_Replacement,1.0487900362146154,6.0,1.0487900362146154,12.409231458767398,224926.08998400002,234.2980104,8.0,AC,HDPE,0,,True,2791159.9117269996
10,P1249,CIP_Replacement,1.034420380751824,6.0,1.034420380751824,11.95991908052607,373853.852568,519.2414619,6.0,AC,HDPE,0,,True,4471261.824656203
