Investment_Cost,Risk_Cost,Budget,Rehab_Trigger,Total_Cost,Norm_Investment,Norm_Risk,Ideal_Distance
29281892.618059196,25125699.01226188,1998192.0778296445,1.1173072456929358,54407591.63032107,0.5556281573980365,0.046181686396919296,0.5575440766899068
35111836.01062194,22097495.655892465,1957855.8091476469,1.3467891148543267,57209331.66651441,0.6662521784337094,0.031065452732995,0.6669760322689035
28998347.999330927,31052765.678199314,1830055.0401131078,1.1326141129426157,60051113.677530244,0.5502478571524522,0.07576851202258816,0.5554399802993861
26500715.31581492,34000269.05486115,1874522.850942361,1.0664167565867344,60500984.37067607,0.5028549149031103,0.09048190624464743,0.5109305635797095
45656705.606214955,17021765.242271386,1950988.0360576063,1.8041311022592437,62678470.84848634,0.8663426076906098,0.005728340948213165,0.8663615456552678
45050194.51408751,20742620.529761128,1717178.9375738779,1.9010351151894667,65792815.04384864,0.854833971792109,0.024302165535336352,0.8551793464411889
52700519.63382134,15874218.72562776,1888492.6587059905,2.40493672906434,68574738.3594491,1.0,0.0,1.0
25621218.602683328,43265587.66313591,1904214.9722432236,1.0591775358347457,68886806.26581924,0.486166337271569,0.1367326709955671,0.5050282475403084
52417287.72541634,16982430.68210339,1888492.6587059905,2.3702163451169835,69399718.40751973,0.9946256334781332,0.0055319900653319175,0.9946410174961923
24629032.82315869,48858626.43084935,1787046.519022468,1.059186465924833,73487659.25400804,0.46733946826878425,0.16465209084770924,0.49549620545698664
23150885.871795487,59583790.731876075,1867210.4972187385,1.0453418882488905,82734676.60367157,0.4392914155809967,0.21819013653981686,0.49049351013690273
21490923.61289519,71514203.4676117,1962379.9236320567,1.0347868242141356,93005127.08050689,0.4077933910750867,0.2777445605322186,0.4933938494851287
19649897.95767276,83138197.09661396,1867210.4972187385,1.0294363058103722,102788095.05428672,0.372859662375362,0.33576939675544687,0.5017623098880442
18884926.374178432,87496534.4106193,1983671.9741443149,1.0269850669518537,106381460.78479773,0.3583442156812957,0.35752541425874035,0.5061966008905303
16724276.537886683,92126817.72256052,781378.0181097612,1.077815754216017,108851094.2604472,0.31734557181014267,0.38063893611857624,0.4955746277171461
16200188.686650475,97534211.88127968,781378.0181097612,1.0664167565867344,113734400.56793015,0.3074009288563782,0.40763165225971987,0.5105476422291589
14513020.422133591,108461020.67238185,641026.0649820743,1.0778702711551125,122974041.09451544,0.2753866664498626,0.4621762701236112,0.5380006698171863
13344058.620210981,113365303.61724778,632637.6646962954,1.0614163248730324,126709362.23745875,0.253205446795011,0.48665754770778025,0.5485877933636616
12664834.877737625,118956973.31248939,632637.6646962954,1.051418248047307,131621808.19022702,0.24031707781510714,0.5145701334021887,0.5679214030824499
11502033.622035597,130697871.28067765,516937.28542398266,1.0778702711551125,142199904.90271324,0.21825275541788008,0.5731785345645897,0.6133252788962049
9947177.108651923,139597120.72383112,448432.9702397258,1.0810123960131135,149544297.83248305,0.188749127670236,0.6176019494364162,0.645800589302872
9381918.154109254,146104128.06029102,460884.5788541085,1.0518996423932352,155486046.2144003,0.1780232570626926,0.6500837321224792,0.6740186487223486
6989314.295328282,159958677.65202302,311408.48210112343,1.084658396279337,166947991.9473513,0.13262325198863478,0.7192430930671606,0.7313682751479292
6477093.669069464,165183012.7428724,288570.6016850363,1.0845379909157609,171660106.41194186,0.1229037913491975,0.7453220120426022,0.7553874790882094
5898803.661924816,174309923.3675557,218111.07484993723,1.2741476419373012,180208727.02948052,0.11193065462943123,0.79088186962029,0.7987631708709775
5216443.248157298,177306701.813353,182997.18693102107,1.3445190134704865,182523145.0615103,0.09898276685700018,0.8058412359159521,0.8118975832192238
3906694.4573128284,185376618.86354262,255905.6882831133,1.0261884559945975,189283313.32085544,0.07413009367758965,0.8461247761618773,0.8493658856015087
2829380.711679888,188286994.32212704,126064.61376935536,1.0827033106627073,191116375.03380692,0.05368790917697311,0.8606528346521296,0.8623257466796065
2192622.2267619036,197957968.32272196,80865.29969795945,1.356700258580533,200150590.54948387,0.04160532461533369,0.90892855644051,0.9098802798991615
810481.8896565085,209707610.81910494,261030.4324024862,1.0054352358950884,210518092.70876145,0.015379011351082954,0.9675806086777947,0.9677028202291386
0.0,216202119.4246215,1730809.489760531,1.0006757455086661,216202119.4246215,0.0,1.0,1.0
0.0,216202119.4246215,1964492.1498483997,1.0004141777057665,216202119.4246215,0.0,1.0,1.0
