Year,Discount_Factor,PV_CIP_Spend,PV_Emergency_Cost,PV_Repair_Cost,Budget,CIP_Count,CIP_Spend,Budget_Utilization,Emergency_Count,Emergency_Cost,Break_Events,Breaks,Repair_Cost,Backlog_CIP,Backlog_Emergency,Backlog_Remaining,Eligible,Deferred,Unfundable,Unfundable_Length,Emergency_degradation,Emergency_break_failure,Emergency_break_damage
1,0.970873786407767,0.0,8262419.262135922,4854.368932038835,1998192.0778296445,0,0.0,0.0,1,8510291.84,1,1,5000.0,0,1,127,0,0,0,0.0,0,1,0
2,0.9425959091337544,0.0,0.0,4712.979545668772,1998192.0778296445,0,0.0,0.0,0,0.0,1,1,5000.0,0,0,127,0,0,0,0.0,0,0,0
3,0.9151416593531596,64805.04852904705,718599.9632113053,4575.708296765798,1998192.0778296445,1,70814.226264,0.03543914874335582,1,785233.582,1,1,5000.0,1,1,125,1,0,0,0.0,0,1,0
4,0.8884870479156888,138719.27811209223,0.0,0.0,1998192.0778296445,2,156129.769632,0.07813551628208928,0,0.0,0,0,0.0,2,0,123,2,0,0,0.0,0,0,0
5,0.8626087843841639,142866.42165650643,0.0,0.0,1998192.0778296445,3,165621.3387144,0.08288559470933905,0,0.0,0,0,0.0,3,0,120,3,0,0,0.0,0,0,0
6,0.8374842566836542,808629.2336618354,0.0,4187.421283418271,1998192.0778296445,6,965545.5934944,0.48320959942106095,0,0.0,1,1,5000.0,6,0,114,6,0,0,0.0,0,0,0
7,0.8130915113433536,1273760.952666977,0.0,8130.915113433535,1998192.0778296445,8,1566565.3064838,0.7839913509142424,0,0.0,2,2,10000.0,8,0,106,8,0,0,0.0,0,0,0
8,0.7894092343139355,1411559.2832603825,0.0,0.0,1998192.0778296445,8,1788121.0681392,0.8948694612388739,0,0.0,0,0,0.0,8,0,98,11,3,0,0.0,0,0,0
9,0.7664167323436267,1524131.5141920126,0.0,11496.2509851544,1998192.0778296445,11,1988645.9283468002,0.9952226066809288,0,0.0,3,3,15000.0,10,0,88,16,5,0,0.0,0,0,0
10,0.7440939148967249,1372111.248426734,0.0,11161.408723450873,1998192.0778296445,13,1844002.7810429998,0.9228355979900996,0,0.0,3,3,15000.0,13,0,75,16,3,0,0.0,0,0,0
11,0.7224212765987621,1376208.9342782886,0.0,0.0,1998192.0778296445,8,1904995.0200216,0.953359309726985,0,0.0,0,0,0.0,8,0,67,12,4,0,0.0,0,0,0
12,0.7013798801929729,1141092.0089763436,0.0,7013.798801929729,1998192.0778296445,12,1626924.3546912,0.8141981808166807,0,0.0,2,2,10000.0,12,0,55,14,2,0,0.0,0,0,0
13,0.6809513399931775,1289347.1715092838,0.0,3404.7566999658875,1998192.0778296445,7,1893449.7897048001,0.947581471627787,0,0.0,1,1,5000.0,7,0,48,12,5,0,0.0,0,0,0
14,0.6611178058186189,1320215.5556295898,1250389.4750317484,6611.1780581861885,1998192.0778296445,6,1996944.4840392,0.9993756387064653,1,1891326.272,2,2,10000.0,5,1,42,19,13,0,0.0,0,1,0
15,0.6418619473967174,1281433.118510201,85604.89354841011,3209.3097369835873,1998192.0778296445,6,1996431.045192,0.9991186870085296,1,133369.63485,1,1,5000.0,6,1,35,19,13,0,0.0,0,1,0
16,0.6231669392201139,1195655.3597518674,0.0,3115.8346961005695,1998192.0778296445,15,1918675.8547367998,0.9602059161503572,0,0.0,1,1,5000.0,14,0,21,17,2,0,0.0,0,0,0
17,0.6050164458447708,794471.273507019,0.0,3025.082229223854,1998192.0778296445,5,1313139.963324,0.6571640323738444,0,0.0,1,1,5000.0,3,0,18,5,0,0,0.0,0,0,0
18,0.5873946076162823,285116.50662521954,0.0,2936.9730380814112,1998192.0778296445,2,485391.767184,0.24291546972361783,0,0.0,1,1,5000.0,2,0,16,2,0,0,0.0,0,0,0
19,0.5702860268119245,846517.5699215747,0.0,0.0,1998192.0778296445,8,1484373.6828935998,0.7428583564928686,0,0.0,0,0,0.0,6,0,10,8,0,0,0.0,0,0,0
20,0.5536757541863345,64455.63818515756,0.0,0.0,1998192.0778296445,1,116414.05226399998,0.05825969062515963,0,0.0,0,0,0.0,0,0,10,1,0,0,0.0,0,0,0
21,0.5375492759090627,649864.5001819569,0.0,5375.492759090626,1998192.0778296445,5,1208939.4020352,0.6050166124911781,0,0.0,2,2,10000.0,1,0,9,5,0,0,0.0,0,0,0
22,0.5218925008825851,113961.17856928537,0.0,7828.387513238777,1998192.0778296445,4,218361.4027344,0.10927948576974408,0,0.0,3,3,15000.0,3,0,6,4,0,0,0.0,0,0,0
23,0.5066917484296942,170041.47211709016,0.0,0.0,1998192.0778296445,5,335591.5557024,0.16794759594228098,0,0.0,0,0,0.0,1,0,5,5,0,0,0.0,0,0,0
24,0.49193373633950893,525726.1981736352,0.0,4919.33736339509,1998192.0778296445,7,1068693.1172592,0.534830024158624,0,0.0,2,2,10000.0,2,0,3,7,0,0,0.0,0,0,0
25,0.47760556926165915,556128.1869052369,0.0,2388.027846308296,1998192.0778296445,7,1164408.9238008,0.5827312282538593,0,0.0,1,1,5000.0,1,0,2,7,0,0,0.0,0,0,0
26,0.463694727438504,393639.2670798301,0.0,0.0,1998192.0778296445,6,848919.0059467201,0.42484354500533383,0,0.0,0,0,0.0,1,0,1,6,0,0,0.0,0,0,0
27,0.4501890557655378,185019.59614611673,0.0,0.0,1998192.0778296445,4,410981.99473439995,0.2056769213001745,0,0.0,0,0,0.0,0,0,1,4,0,0,0.0,0,0,0
28,0.4370767531704251,189804.23974987076,0.0,0.0,1998192.0778296445,2,434258.373096,0.21732564046979602,0,0.0,0,0,0.0,0,0,1,2,0,0,0.0,0,0,0
29,0.42434636230138356,274157.37879235006,0.0,0.0,1998192.0778296445,8,646069.82208,0.32332718623413564,0,0.0,0,0,0.0,0,0,1,8,0,0,0.0,0,0,0
30,0.41198675951590635,210332.84036537464,0.0,0.0,1998192.0778296445,5,510533.0098776,0.2554974647042542,0,0.0,0,0,0.0,0,0,1,5,0,0,0.0,0,0,0
31,0.3999871451610742,198378.00513897376,0.0,5999.807177416113,1998192.0778296445,2,495960.9515928,0.2482048433159102,0,0.0,3,3,15000.0,0,0,1,2,0,0,0.0,0,0,0
32,0.3883370341369652,236333.46009359026,0.0,0.0,1998192.0778296445,6,608578.2176784,0.30456442322572563,0,0.0,0,0,0.0,1,0,0,6,0,0,0.0,0,0,0
